,ISO2,ISO3,country,year,countries,ISO,hf_score,hf_quartile,pf_score,ef_score,asciiname,latitude,longitude,country code,population
191,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Gardez,33.59744,69.22592,AF,103601.0
192,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Fayzabad,37.11664,70.58002,AF,44421.0
193,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Farah,32.37451,62.11638,AF,43561.0
194,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Kafir Qala,34.66667,61.06667,AF,18086.0
195,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Charikar,35.01361,69.17139,AF,53676.0
196,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Baraki Barak,33.96744,68.9492,AF,22305.0
197,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Bamyan,34.82156,67.82734,AF,61863.0
198,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Balkh,36.75635,66.8972,AF,114883.0
199,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Baghlan,36.13068,68.70829,AF,108449.0
200,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Art Khwajah,37.08571,69.47958,AF,18623.0
201,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Asmar,35.03333,71.35809,AF,15708.0
202,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Asadabad,34.87311,71.14697,AF,48400.0
203,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Andkhoy,36.95293,65.12376,AF,29208.0
204,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Bazarak,35.31292,69.51519,AF,65000.0
205,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Markaz-e Woluswali-ye Achin,34.12583,70.70778,AF,15098.0
206,AG,ATG,Antigua and Barbuda,2019.0,Antigua and Barbuda,,,0.0,,,Saint John's,17.12096,-61.84329,AG,24226.0
207,AI,AIA,Anguilla,2019.0,Anguilla,,,0.0,,,The Valley,18.21704,-63.05783,AI,2035.0
208,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Sarande,39.87556,20.00528,AL,15147.0
209,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Kukes,42.07694,20.42194,AL,17832.0
210,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Korce,40.61861,20.78083,AL,58259.0
211,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Gjirokaster,40.07583,20.13889,AL,23437.0
212,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Elbasan,41.1125,20.08222,AL,100903.0
213,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Burrel,41.61028,20.00889,AL,15405.0
214,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Vlore,40.46667,19.48972,AL,89546.0
215,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Tirana,41.3275,19.81889,AL,374801.0
216,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Shkoder,42.06828,19.51258,AL,88245.0
217,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Patos Fshat,40.64278,19.65083,AL,22679.0
218,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Lushnje,40.94194,19.705,AL,41469.0
219,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Lezhe,41.78361,19.64361,AL,18695.0
220,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Lac,41.63556,19.71306,AL,24825.0
221,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Kucove,40.80028,19.91667,AL,18166.0
222,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Kruje,41.50917,19.79278,AL,21286.0
223,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Kavaje,41.18556,19.55694,AL,29354.0
224,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Fier-Cifci,40.71667,19.56667,AL,60995.0
225,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Fier,40.72389,19.55611,AL,56297.0
226,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Durres,41.32306,19.44139,AL,122034.0
227,AL,ALB,Albania,2019.0,Albania,ALB,8.14,2.0,8.38,7.81,Berat,40.70583,19.95222,AL,46866.0
448,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Kapan,39.20755,46.40576,AM,33160.0
449,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Goris,39.51111,46.34168,AM,20379.0
450,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Hats'avan,39.46405,45.97047,AM,15208.0
451,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Artashat,39.96144,44.54447,AM,20562.0
452,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Ararat,39.83069,44.70569,AM,28832.0
453,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Yerevan,40.18111,44.51361,AM,1093485.0
454,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Ejmiatsin,40.16557,44.29462,AM,49513.0
